Title,Author
The Help,Kathryn Stockett
The Kite Runner,Khaled Hosseini
Water for Elephants,Sara Gruen
The Book Thief,Markus Zusak
To Kill a Mockingbird,Harper Lee
The Time Traveler's Wife,Audrey Niffenegger
A Thousand Splendid Suns,Khaled Hosseini
"The Hunger Games (The Hunger Games, #1)",Suzanne Collins
The Glass Castle,Jeannette Walls
The Secret Life of Bees,Sue Monk Kidd
Memoirs of a Geisha,Arthur Golden
My Sister's Keeper,Jodi Picoult
The Lovely Bones,Alice Sebold
The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer
Pride and Prejudice,Jane Austen
Life of Pi,Yann Martel
The Red Tent,Anita Diamant
"The Handmaid’s Tale (The Handmaid's Tale, #1)",Margaret Atwood
The Curious Incident of the Dog in the Night-Time,Mark Haddon
The Poisonwood Bible,Barbara Kingsolver
"The Girl with the Dragon Tattoo (Millennium, #1)",Stieg Larsson
1984,George Orwell
Sarah's Key,Tatiana de Rosnay
The Diary of a Young Girl,Anne Frank
Room,Emma Donoghue
"Eat, Pray, Love",Elizabeth Gilbert
Snow Flower and the Secret Fan,Lisa See
Jane Eyre,Charlotte Brontë
Middlesex,Jeffrey Eugenides
Una Historia de Ayer,Sergio Cobo
The Great Gatsby,F. Scott Fitzgerald
The Catcher in the Rye,J.D. Salinger
The Thirteenth Tale,Diane Setterfield
A Tree Grows in Brooklyn,Betty  Smith
The Memory Keeper's Daughter,Kim Edwards
Little Women,Louisa May Alcott
"The Pillars of the Earth (Kingsbridge, #1)",Ken Follett
The Joy Luck Club,Amy Tan
Tuesdays with Morrie,Mitch Albom
"The Giver (The Giver, #1)",Lois Lowry
Fahrenheit 451,Ray Bradbury
"The Shadow of the Wind (The Cemetery of Forgotten Books, #1)",Carlos Ruiz Zafón
"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",Philippa Gregory
Atonement,Ian McEwan
The Road,Cormac McCarthy
Cutting for Stone,Abraham   Verghese
Rebecca,Daphne du Maurier
The Color Purple,Alice Walker
Bel Canto,Ann Patchett
The Alchemist,Paulo Coelho
The Grapes of Wrath,John Steinbeck
I Know This Much Is True,Wally Lamb
Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time,Greg Mortenson
Of Mice and Men,John Steinbeck
Divine Secrets of the Ya-Ya Sisterhood,Rebecca Wells
The Immortal Life of Henrietta Lacks,Rebecca Skloot
Animal Farm,George Orwell
Gone with the Wind,Margaret Mitchell
The Shack,William Paul Young
Never Let Me Go,Kazuo Ishiguro
Slaughterhouse-Five,Kurt Vonnegut Jr.
Hotel on the Corner of Bitter and Sweet,Jamie Ford
White Oleander,Janet Fitch
Girl with a Pearl Earring,Tracy Chevalier
The Art of Racing in the Rain,Garth Stein
The V Girl: a Coming of Age Story,Mya Robarts
Lord of the Flies,William Golding
"A Dog's Purpose (A Dog's Purpose, #1)",W. Bruce Cameron
Lolita,Vladimir Nabokov
A Prayer for Owen Meany,John Irving
Extremely Loud & Incredibly Close,Jonathan Safran Foer
Still Alice,Lisa Genova
East of Eden,John Steinbeck
"The Good Earth (House of Earth, #1)",Pearl S. Buck
The Namesake,Jhumpa Lahiri
Beloved,Toni Morrison
"Outlander (Outlander, #1)",Diana Gabaldon
"Breaking Dawn (The Twilight Saga, #4)",Stephenie Meyer
"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",Gregory Maguire
The Boy in the Striped Pajamas,John Boyne
"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling
The Five People You Meet in Heaven,Mitch Albom
Little Bee,Chris Cleave
"The Host (The Host, #1)",Stephenie Meyer
"Angela's Ashes (Frank McCourt, #1)",Frank McCourt
"Unbroken: A World War II Story of Survival, Resilience and Redemption",Laura Hillenbrand
"The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency, #1)",Alexander McCall Smith
Midwives,Chris Bohjalian
Love in the Time of Cholera,Gabriel García Márquez
"The Da Vinci Code (Robert Langdon, #2)",Dan Brown
One Flew Over the Cuckoo's Nest,Ken Kesey
Loving Frank,Nancy Horan
We Need to Talk About Kevin,Lionel Shriver
The Elephant Tree,R.D. Ronald
Atlas Shrugged,Ayn Rand
"Dome: Rebellion (Dome, #1)",Johnathon Nicolaou
Year of Wonders,Geraldine Brooks
Peace Like a River,Leif Enger
Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt
The Zombie Room,R.D. Ronald
